id;host_is_superhost;host_identity_verified;neighbourhood_cleansed;property_type;room_type;accommodates;bathrooms;bedrooms;beds;price;minimum_nights_avg_ntm;maximum_nights_avg_ntm;number_of_reviews;number_of_reviews_ltm;number_of_reviews_l30d;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;instant_bookable
17584297;0;1;el Barri Gòtic;Private room in rental unit;Private room;1;1;1;1;23;31;730;8;1;0;4.88;4.88;4.88;4.88;4.88;4.5;5;0
17594647;0;0;el Poble Sec;Entire rental unit;Entire home/apt;8;2;4;8;285;2.9;102.9;113;14;1;4.27;4.29;4.31;4.37;4.55;4.61;4.32;0
17596395;1;1;Sant Pere, Santa Caterina i la Ribera;Entire rental unit;Entire home/apt;4;1;2;3;135;3;1125;208;48;5;4.78;4.86;4.9;4.86;4.81;4.97;4.71;0
17628425;1;1;el Poblenou;Entire rental unit;Entire home/apt;5;2;2;2;122;1.9;999;201;43;0;4.85;4.86;4.88;4.86;4.95;4.84;4.72;0
17628666;0;0;el Poble Sec;Entire rental unit;Entire home/apt;9;2;5;9;345;2.6;226.9;86;11;1;4.38;4.49;4.43;4.33;4.56;4.72;4.4;0
17831961;1;1;el Poble Sec;Entire rental unit;Entire home/apt;4;1;2;3;70;3.9;60;243;42;3;4.84;4.84;4.86;4.88;4.92;4.8;4.68;0
17836024;0;1;Sant Pere, Santa Caterina i la Ribera;Entire rental unit;Entire home/apt;3;1;1;2;52;32;180;12;3;0;4.33;4.58;3.92;4.33;4.42;4.92;4.25;1
17839592;0;1;el Poble Sec;Entire rental unit;Entire home/apt;5;1;2;3;94;3.2;803.3;140;32;2;4.28;4.34;4.47;4.13;4.45;4.36;4.15;0
17872800;1;1;Sant Antoni;Entire rental unit;Entire home/apt;9;2;4;7;179;3;1125;199;26;1;4.7;4.78;4.77;4.92;4.93;4.82;4.61;0
17876182;0;1;el Barri Gòtic;Private room in rental unit;Private room;2;1;1;2;55;73.8;335;58;0;0;4.66;4.79;4.55;4.98;4.96;4.98;4.7;0
17891078;0;1;el Raval;Entire rental unit;Entire home/apt;2;1;0;1;40;32;1125;26;7;0;4.77;4.85;4.77;4.85;4.81;4.73;4.54;0
17632700;0;1;Sant Antoni;Entire rental unit;Entire home/apt;7;2;3;4;155;3;365;222;17;2;4.75;4.81;4.76;4.75;4.84;4.83;4.65;1
17633075;0;1;el Poblenou;Entire serviced apartment;Entire home/apt;2;1;1;1;66;31;360;3;0;0;4;5;4;4.33;5;5;4.33;0
17647478;1;1;el Poble Sec;Private room in rental unit;Private room;3;1;2;2;65;32;1125;449;63;4;4.93;4.93;4.91;4.96;4.97;4.9;4.89;1
17664135;0;1;Can Peguera;Private room in condo;Private room;2;1;1;1;73;2;1125;43;0;0;4.63;4.63;4.77;4.95;4.79;4.51;4.56;0
17672694;0;1;el Parc i la Llacuna del Poblenou;Entire rental unit;Entire home/apt;5;1;2;2;114;2.8;1125;207;24;3;4.46;4.53;4.65;4.5;4.65;4.67;4.33;1
17677133;1;1;Sant Gervasi - Galvany;Entire rental unit;Entire home/apt;2;1;1;2;177;32;180;35;4;0;4.94;4.91;4.94;5;5;4.94;4.83;0
17690720;1;1;Diagonal Mar i el Front Marítim del Poblenou;Entire rental unit;Entire home/apt;6;1;2;4;112;3;1125;271;44;3;4.8;4.84;4.8;4.83;4.84;4.78;4.66;1
17690765;0;1;la Barceloneta;Entire loft;Entire home/apt;2;1;0;2;94;2.1;1125;102;16;1;4.46;4.61;4.62;4.79;4.84;4.87;4.36;0
17915459;0;1;Sant Antoni;Entire rental unit;Entire home/apt;6;1;3;5;99;3.4;1125;126;38;6;4.37;4.55;4.63;4.48;4.61;4.55;4.28;1
17916039;1;1;Sant Pere, Santa Caterina i la Ribera;Entire rental unit;Entire home/apt;2;1;1;1;70;31;1125;19;4;0;4.79;4.79;4.84;4.95;4.84;4.84;4.68;0
17929979;1;1;el Barri Gòtic;Entire rental unit;Entire home/apt;2;1;1;1;48;30.8;180;28;4;0;4.86;4.96;4.96;4.82;5;4.82;4.75;1
